Period,non-tax_revenue_revenue
1999-12,13131
2000-03,20756
2000-06,25999
2000-07,1617
2000-08,4257
2000-09,6797
2000-10,9319
2000-11,10898
2000-12,13396
2001-01,17042
2001-02,21394
2001-03,25289
2001-04,26744
2001-05,33866
2001-06,31542
2001-07,1739
2001-08,4663
2001-09,7011
2001-10,10023
2001-11,12819
2001-12,14559
2002-01,16848
2002-02,21338
2002-03,22966
2002-04,28865
2002-05,31095
2002-06,37374
2002-07,2124
2002-08,4180
2002-09,6871
2002-10,8897
2002-11,11002
2002-12,14540
2003-01,17524
2003-02,25542
2003-03,26310
2003-04,28462
2003-05,30414
2003-06,33751
2003-07,2339
2003-08,5224
2003-09,8287
2003-10,10637
2003-11,13441
2003-12,19884
2004-01,22015
2004-02,25071
2004-03,28985
2004-04,33961
2004-05,38384
2004-06,53137
2004-07,1950
2004-08,4675
2004-09,7173
2004-10,12783
2004-11,17077
2004-12,22327
2005-01,27348
2005-02,30460
2005-03,33903
2005-04,35960
2005-05,37405
2005-06,46875
2005-07,1327
2005-08,3551
2005-09,6815
2005-10,12493
2005-11,13629
2005-12,19179
2006-01,24821
2006-02,26840
2006-03,30947
2006-04,34314
2006-05,41715
2006-06,57615.55
2006-07,1858.02
2006-08,4227
2006-09,7633
2006-10,13743
2006-11,15687
2006-12,22218.18
2007-01,29847
2007-02,36020
2007-03,44741
2007-04,46493
2007-05,56188
2007-06,67990
2007-07,4337
2007-08,8886
2007-09,8816
2007-10,13588
2007-11,16487
2007-12,29534
2008-01,34077
2008-02,37001
2008-03,47380
2008-04,50441
2008-05,53181
2008-06,68599
2008-07,4100
2008-08,8818
2008-09,14219
2008-10,19429
2008-11,23568
2008-12,32564
2009-01,37776
2009-02,38234
2009-03,38239
2009-04,42481
2009-05,42227
2009-06,70539
2009-07,4652
2009-08,8547
2009-09,19949
2009-10,25355
2009-11,27986
2009-12,32863
2010-01,44764
2010-02,49994
2010-03,57810
2010-04,63870
2010-05,69823
2010-06,106809
2010-07,4694
2010-08,12042
2010-09,13399
2010-10,25253
2010-11,33378
2010-12,36883
2011-01,47856
2011-02,54751
2011-03,61197
2011-04,72487
2011-05,76052
2011-06,103593
2011-07,2609
2011-08,5949
2011-09,11147
2011-10,14346
2011-11,17992
2011-12,25163.86
2012-01,29280.7
2012-02,33908
2012-03,38897
2012-04,45589
2012-05,53288
2012-06,64287
2012-07,2794.57
2012-08,7774.3
2012-09,10942.47
2012-10,15278.16
2012-11,25136.18
2012-12,34374.59
2013-01,38783.11
2013-02,44456.41
2013-03,47998.12
2013-04,62376.34
2013-05,69522.81
2013-06,82772.64
2013-07,3464.01
2013-08,7022.23
2013-09,10776.54
2013-10,21600.4
2013-11,33160.39
2013-12,43636.6
2014-01,54450.58
2014-02,46275.51
2014-03,73264.43
2014-04,81327.68
2014-05,85776.82
2014-06,117358.03
2014-07,28335.1
2014-08,42866.19
2014-09,45236.81
2014-10,61552.46
2014-11,58731.83
2014-12,83078.31
2015-01,52845.54
2015-02,65098.74
2015-03,65496.89
2015-04,76263.71
2015-05,77734.03
2015-06,85936.47
2015-07,4087.26
2015-08,8770.25
2015-09,20369.81
2015-10,28530.6
2015-11,35190.16
2015-12,49200
2016-01,61700.2
2016-02,66352.92
2016-03,76503.81
2016-04,85145.59
2016-05,93345.49
2016-06,110030.12
2016-07,7641.07
2016-08,18588.96
2016-09,27140.39
2016-10,37880.27
2016-11,58135.1
2016-12,78164.53
2017-01,86454.94
2017-02,96571.69
2017-03,104098.73
2017-04,114131.87
2017-05,136770.48
2017-06,143637.53
2017-07,7628.51
2017-08,16260.38
2017-09,27461.49
2017-10,38846.96
2017-11,49694.48
2017-12,75856.93
2018-01,85403.57
2018-02,97470.07
2018-03,108426.72
2018-04,118363.16
2018-05,137446
2018-06,175534.78
2018-07,11372.6
2018-08,21971.66
2018-09,36657.46
2018-10,49866.56
2018-11,63241.22
2018-12,113896.88
2019-01,119434.61
2019-02,132923.13
2019-03,138675.47
2019-04,178542.83
2019-05,204446.66
2019-06,204460.5881
2019-07,10029.78063
2019-08,18454.59126
2019-09,49707.05347
2019-10,61975.92725
2019-11,122659.0415
2019-12,173725.3184
2020-01,186959.4839
2020-02,203769.6942
2020-03,235945.5625
2020-04,253832.266
2020-05,279172.8325
2020-06,306123.5427
2020-07,10828.11066
2020-08,24612.94217
2020-09,61903.48839
2020-10,80019.21323
2020-11,100668.3384
2020-12,141859.028
2021-01,157774.1917
2021-02,179213.5777
2021-03,214799.7635
2021-04,235645.9178
2021-05,247710.959
2021-06,253624.9366
2021-07,13323.51183
2021-08,30038.43365
2021-09,89936.02544
2021-10,107899.8905
2021-11,120927.0809
2021-12,164291.1635
2022-01,183004.971
2022-02,196717.3718
2022-03,239310.5361
2022-04,264504.1223
2022-05,279728.6082
2022-06,362586.6017
2022-07,15789.07269
2022-08,32304.40225
2022-09,104875.8973
2022-10,123945.5464
2022-11,135954.573
2022-12,195256.3367
2023-01,206926.1936
2023-02,228145.207
2023-03,293872.7869
2023-04,322711.8543
2023-05,341318.1392
2023-06,400080.4949
2023-07,14538.90604
2023-08,33833.86828
2023-09,71963.40502
2023-10,142261.8147
2023-11,164607.9762
2023-12,219828.3207
2024-01,285040.8178
2024-02,304661.542
2024-03,321280.3845
2024-04,371987.7587
2024-05,462507.3008
2024-06,542376.7822
2024-07,33047.43423
2024-08,60814.92412
2024-09,131059.7425
2024-10,195360.6388
2024-11,231705.6058
2024-12,258131.6002
2025-01,313457.7532
2025-02,357129
2025-03,409100
2025-04,443658
2025-05,490260.216
2025-06,685484.1268
2025-07,43235.7017
2025-08,91674.38994
2025-09,139852.3075
2025-10,203090.5858
2025-11,236692.8777
2025-12,333235.0144
2026-01,403680.7923
2026-02,466942.9569
2026-03,503279.8839
